Zone,total_rides
JFK Airport,171194
Upper East Side South,154916
Midtown Center,147111
Upper East Side North,128834
Penn Station/Madison Sq West,110812
Midtown East,109940
LaGuardia Airport,109905
Times Sq/Theatre District,101763
Lincoln Square East,91611
Murray Hill,88751
